REF_DATE,GEO,DGUID,Age group,Sex,Element,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1998/2000,Canada,2016A000011124,0,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308758,1.1.1.3,0.00525,,,,5
1998/2000,Canada,2016A000011124,1,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308761,1.2.1.3,0.00034,,,,5
1998/2000,Canada,2016A000011124,2,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308764,1.3.1.3,0.00026,,,,5
1998/2000,Canada,2016A000011124,3,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308767,1.4.1.3,0.00021,,,,5
1998/2000,Canada,2016A000011124,4,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308770,1.5.1.3,0.00017,,,,5
1998/2000,Canada,2016A000011124,5,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308773,1.6.1.3,0.00015,,,,5
1998/2000,Canada,2016A000011124,6,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308776,1.7.1.3,0.00013,,,,5
1998/2000,Canada,2016A000011124,7,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308779,1.8.1.3,0.00012,,,,5
1998/2000,Canada,2016A000011124,8,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308782,1.9.1.3,0.00012,,,,5
1998/2000,Canada,2016A000011124,9,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308785,1.10.1.3,0.00012,,,,5
1998/2000,Canada,2016A000011124,10,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308788,1.11.1.3,0.00012,,,,5
1998/2000,Canada,2016A000011124,11,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308791,1.12.1.3,0.00013,,,,5
1998/2000,Canada,2016A000011124,12,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308794,1.13.1.3,0.00015,,,,5
1998/2000,Canada,2016A000011124,13,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308797,1.14.1.3,0.00019,,,,5
1998/2000,Canada,2016A000011124,14,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308800,1.15.1.3,0.00024,,,,5
1998/2000,Canada,2016A000011124,15,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308803,1.16.1.3,0.00032,,,,5
1998/2000,Canada,2016A000011124,16,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308806,1.17.1.3,0.00043,,,,5
1998/2000,Canada,2016A000011124,17,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308809,1.18.1.3,0.00052,,,,5
1998/2000,Canada,2016A000011124,18,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308812,1.19.1.3,0.00058,,,,5
1998/2000,Canada,2016A000011124,19,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308815,1.20.1.3,0.00062,,,,5
1998/2000,Canada,2016A000011124,20,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308818,1.21.1.3,0.00065,,,,5
